BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,STREET_NAME,FORMATTED_ADDRESS
Brokered by Real Mart,House for sale,"94,601,238",5,5,"5,938.49","Moratuwa, Colombo",Colombo,Moratuwa,Colombo,Moratuwa,,"Moratuwa, Colombo"
Brokered by Property Solutions,House for sale,"46,044,725",3,3,"1,768.45","Homagama, Colombo",Colombo,Homagama,Colombo,Homagama,,"Homagama, Colombo"
Brokered by Property Solutions,House for sale,"90,985,626",5,4,"5,063.38","Boralesgamuwa, Colombo",Colombo,Boralesgamuwa,Colombo,Boralesgamuwa,,"Boralesgamuwa, Colombo"
Brokered by Emil Realtors Pvt Ltd,House for sale,"28,967,644",3,2,"2,619.82","Piliyandala, Colombo",Colombo,Piliyandala,Colombo,Piliyandala,,"Piliyandala, Colombo"
Brokered by Ideal Marketing,Villa for sale,"98,596,073",5,5,"4,914.25","Boralesgamuwa, Colombo",Colombo,Boralesgamuwa,Colombo,Boralesgamuwa,,"Boralesgamuwa, Colombo"
Brrokered by Priyankara Kavirathna,House for sale,"11,677,723",4,2,"1,431.04","Padukka, Colombo",Colombo,Padukka,Colombo,Padukka,,"Padukka, Colombo"
Brokered by Platinum Property & Construction,House for sale,"55,940,507",4,3,"2,138.28","Dehiwala, Colombo",Colombo,Dehiwala,Colombo,Dehiwala,,"Dehiwala, Colombo"
Brokered by Sithara Pavithra,House for sale,"60,773,161",3,3,"3,048.53","Dehiwala, Colombo",Colombo,Dehiwala,Colombo,Dehiwala,,"Dehiwala, Colombo"
Brokered by Emil Realtors Pvt Ltd,House for sale,"26,788,426",4,3,"2,620.50","Piliyandala, Colombo",Colombo,Piliyandala,Colombo,Piliyandala,,"Piliyandala, Colombo"
Brokered by DJ Luxury Realty,House for sale,"81,789,774",5,4,"3,029.48","Pitakotte, Colombo",Colombo,Pitakotte,Colombo,Pitakotte,,"Pitakotte, Colombo"
